Listing extensions (default action, see --help).
Looking for the newly published extensions in registry.quarkus.io
Current Quarkus extensions installable: 

✬ ArtifactId                                         Extension                                                    Version                   Guide
✬ blaze-persistence-integration-quarkus-3            Blaze-Persistence                                            1.6.14                    https://quarkus.io/guides/blaze-persistence
✬ camel-quarkus-activemq                             Camel ActiveMQ                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/activemq.html
✬ camel-quarkus-amqp                                 Camel AMQP                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/amqp.html
✬ camel-quarkus-arangodb                             Camel ArangoDb                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/arangodb.html
✬ camel-quarkus-as2                                  Camel AS2                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/as2.html
✬ camel-quarkus-atom                                 Camel Atom                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/atom.html
✬ camel-quarkus-attachments                          Camel Attachments                                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/attachments.html
✬ camel-quarkus-avro                                 Camel Avro                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/avro.html
✬ camel-quarkus-aws-bedrock                          Camel AWS Bedrock                                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws-bedrock.html
✬ camel-quarkus-aws2-athena                          Camel AWS 2 Athena                                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-athena.html
✬ camel-quarkus-aws2-cw                              Camel AWS 2 CloudWatch                                       3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-cw.html
✬ camel-quarkus-aws2-ddb                             Camel AWS 2 DynamoDB                                         3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-ddb.html
✬ camel-quarkus-aws2-ec2                             Camel AWS 2 Elastic Compute Cloud (EC2)                      3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-ec2.html
✬ camel-quarkus-aws2-ecs                             Camel AWS 2 Elastic Container Service (ECS)                  3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-ecs.html
✬ camel-quarkus-aws2-eks                             Camel AWS 2 Elastic Kubernetes Service (EKS)                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-eks.html
✬ camel-quarkus-aws2-eventbridge                     Camel AWS 2 Eventbridge                                      3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-eventbridge.html
✬ camel-quarkus-aws2-iam                             Camel AWS 2 Identity and Access Management (IAM)             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-iam.html
✬ camel-quarkus-aws2-kinesis                         Camel AWS 2 Kinesis                                          3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-kinesis.html
✬ camel-quarkus-aws2-kms                             Camel AWS 2 Key Management Service (KMS)                     3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-kms.html
✬ camel-quarkus-aws2-lambda                          Camel AWS 2 Lambda                                           3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-lambda.html
✬ camel-quarkus-aws2-mq                              Camel AWS 2 MQ                                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-mq.html
✬ camel-quarkus-aws2-msk                             Camel AWS 2 Managed Streaming for Apache Kafka (MSK)         3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-msk.html
✬ camel-quarkus-aws2-s3                              Camel AWS 2 S3 Storage Service                               3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-s3.html
✬ camel-quarkus-aws2-ses                             Camel AWS 2 Simple Email Service (SES)                       3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-ses.html
✬ camel-quarkus-aws2-sns                             Camel AWS 2 Simple Notification System (SNS)                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-sns.html
✬ camel-quarkus-aws2-sqs                             Camel AWS 2 Simple Queue Service (SQS)                       3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-sqs.html
✬ camel-quarkus-aws2-sts                             Camel AWS 2 Security Token Service (STS)                     3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-sts.html
✬ camel-quarkus-aws2-translate                       Camel AWS 2 Translate                                        3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/aws2-translate.html
✬ camel-quarkus-azure-eventhubs                      Camel Azure Event Hubs                                       3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/azure-eventhubs.html
✬ camel-quarkus-azure-key-vault                      Camel Azure Key Vault                                        3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/azure-key-vault.html
✬ camel-quarkus-azure-storage-blob                   Camel Azure Storage Blob Service                             3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/azure-storage-blob.html
✬ camel-quarkus-azure-storage-queue                  Camel Azure Storage Queue Service                            3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/azure-storage-queue.html
✬ camel-quarkus-base64                               Camel Base64                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/base64.html
✬ camel-quarkus-bean                                 Camel Bean                                                   3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/bean.html
✬ camel-quarkus-bean-validator                       Camel Bean Validator                                         3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/bean-validator.html
✬ camel-quarkus-beanio                               Camel BeanIO                                                 3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/beanio.html
✬ camel-quarkus-bindy                                Camel Bindy                                                  3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/bindy.html
✬ camel-quarkus-box                                  Camel Box                                                    3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/box.html
✬ camel-quarkus-braintree                            Camel Braintree                                              3.17.0                    https://camel.apache.org/camel-quarkus/latest/reference/extensions/braintree.html
